
ProcessName   MainWindowTitle                                                                                     
-----------   ---------------                                                                                     
cowork        Tuanjie Cowork                                                                                      
Doubao        豆包                                                                                                  
msedge        Lovart | The world's first design agent for all design purposes 和另外 1 个页面 - 用户配置 1 - Microsoft​ Edge
plastic       HMI by Jason Sun - Unity Version Control (11.0.16.10371)                                            
tbAgent       关于 tbAgent                                                                                          
TextInputHost Windows 输入体验                                                                                        
Tuanjie       Unity Error                                                                                         
UGit          UGit                                                                                                


